"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","trait"
"1",0,0,0,0,0,0,0,"S"
"2",0.1,0,0,0,0,0,0,"S"
"3",0.2,0,0,0,0,0,0,"S"
"4",0.3,0,0,0,0,0,0,"S"
"5",0.4,0,0,0,0,0,0,"S"
"6",0.5,0,0,0,0,0,0,"S"
"7",0.6,0,0,0,0,0,0,"S"
"8",0.7,0,0,0,0,0,0,"S"
"9",0.8,0,0,0,0,0,0,"S"
"10",0.9,0,0,0,0,0,0,"S"
"11",1,0,0,0,0,0,0,"S"
"12",1.1,0,0,0,0,0,0,"S"
"13",1.2,0,0,0,0,0,0,"S"
"14",1.3,0,0,0,0,0,0,"S"
"15",1.4,0,0,0,0,0,0,"S"
"16",1.5,0,0,0,0,0,0,"S"
"17",1.6,0,0,0,0,0,0,"S"
"18",1.7,0,0,0,0,0,0,"S"
"19",1.8,0,0,0,0,0,0,"S"
"20",1.9,0,0,0,0,0,0,"S"
"21",2,0,0,0,0,0,0,"S"
"22",2.1,0,0,0,0,0,0,"S"
"23",2.2,0,0,0,0,0,0,"S"
"24",2.3,0,0,0,0,0,0,"S"
"25",2.4,0,0,0,0,0,0,"S"
"26",2.5,0,0,0,0,0,0,"S"
"27",2.6,0,0,0,0,0,0,"S"
"28",2.7,0,0,0,0,0,0,"S"
"29",2.8,0,0,0,0,0,0,"S"
"30",2.9,0,0,0,0,0,0,"S"
"31",3,0,0,0,0,0,0,"S"
"32",3.1,0,0,0,0,0,0,"S"
"33",3.2,0,0,0,0,0,0,"S"
"34",3.3,0,0,0,0,0,0,"S"
"35",3.4,0,0,0,0,0,0,"S"
"36",3.5,0,0,0,0,0,0,"S"
"37",3.6,0,0,0,0,0,0,"S"
"38",3.7,0,0,0,0,0,0,"S"
"39",3.8,0,0,0,0,0,0,"S"
"40",3.9,0,0,0,0,0,0,"S"
"41",4,0,0,0,0,0,0,"S"
"42",4.1,0,0,0,0,0,0,"S"
"43",4.2,0,0,0,0,0,0,"S"
"44",4.3,0,0,0,0,0,0,"S"
"45",4.4,0,0,0,0,0,0,"S"
"46",4.5,0,0,0,0,0,0,"S"
"47",4.6,0,0,0,0,0,0,"S"
"48",4.7,0,0,0,0,0,0,"S"
"49",4.8,0,0,0,0,0,0,"S"
"50",4.9,0,0,0,0,0,0,"S"
"51",5,0,0,0,0,0,0,"S"
"52",5.1,0,0,0,0,0,0,"S"
"53",5.2,0,0,0,0,0,0,"S"
"54",5.3,0,0,0,0,0,0,"S"
"55",5.4,0,0,0,0,0,0,"S"
"56",5.5,0,0,0,0,0,0,"S"
"57",5.6,0,0,0,0,0,0,"S"
"58",5.7,0,0,0,0,0,0,"S"
"59",5.8,0,0,0,0,0,0,"S"
"60",5.9,0,0,0,0,0,0,"S"
"61",6,0,0,0,0,0,0,"S"
"62",6.1,0,0,0,0,0,0,"S"
"63",6.2,0,0,0,0,0,0,"S"
"64",6.3,0,0,0,0,0,0,"S"
"65",6.4,0,0,0,0,0,0,"S"
"66",6.5,0,0,0,0,0,0,"S"
"67",6.6,0,0,0,0,0,0,"S"
"68",6.7,0,0,0,0,0,0,"S"
"69",6.8,0,0,0,0,0,0,"S"
"70",6.9,0,0,0,0,0,0,"S"
"71",7,0,0,0,0,0,0,"S"
"72",7.1,0,0,0,0,0,0,"S"
"73",7.2,0,0,0,0,0,0,"S"
"74",7.3,0,0,0,0,0,0,"S"
"75",7.4,0,0,0,0,0,0,"S"
"76",7.5,0,0,0,0,0,0,"S"
"77",7.6,0,0,0,0,0,0,"S"
"78",7.7,0,0,0,0,0,0,"S"
"79",7.8,0,0,0,0,0,0,"S"
"80",7.9,0,0,0,0,0,0,"S"
"81",8,0,0,0,0,0,0,"S"
"82",8.1,0,0,0,0,0,0,"S"
"83",8.2,0,0,0,0,0,0,"S"
"84",8.3,0,0,0,0,0,0,"S"
"85",8.4,0,0,0,0,1.14392841145646e-17,0,"S"
"86",8.5,0,0,0,0,1.1061219211792e-15,0,"S"
"87",8.6,0,0,0,0,5.47261322698108e-12,0,"S"
"88",8.7,0,0,0,0,4.32970533407624e-11,0,"S"
"89",8.8,0,0,0,0,1.19947370938583e-10,0,"S"
"90",8.9,0,0,0,0,6.37553581491026e-09,0,"S"
"91",9,0,0,0,0,1.16653523065866e-08,0,"S"
"92",9.1,0,0,0,0,5.66114315979107e-08,0,"S"
"93",9.2,0,0,0,0,2.51442659082244e-07,0,"S"
